"","Frank A. LoBiondoRepublican","William J Hughes Jr.Democratic","Alexnander H. SpanoD-R Party","Gary SteinIndependent","Constantino RozzoAmerican Labor Party","Bayode OlabisiIndependent"
Avalon,464,163,1,1,2,1
Cape May,687,385,1,1,0,1
Cape May Point,77,55,0,0,0,0
Dennis Twp,"1,488",719,5,6,3,1
Lower Twp,"4,674","2,021",40,20,19,28
Middle Twp,"3,397","1,782",7,8,10,22
North Wildwood,924,326,1,3,2,2
Ocean City,"2,766","1,534",1,4,6,5
Sea Isle City,692,264,1,1,0,0
Stone Harbor,269,85,0,0,1,0
Upper Township,"2,868","1,256",4,8,8,6
West Cape May,222,199,2,2,0,0
West Wildwood,170,84,0,0,1,4
Wildwood,428,277,3,3,3,2
Wildwood Crest,749,247,1,1,1,0
Woodbine,290,183,3,2,3,6
Cape May Totals,"20,165","9,580",70,60,59,78
