MUNICIPALITIES,"Cory BookerDemocratic","Jeff BellRepublican","Joseph BaratelliLibertarian Party","Eugene Martin LaVergneD-R Party","Hank SchroederEconomic Growth","Jeff BossIndependent","Antonio N. SabasIndependent"
Absecon City,"1,187","1,327",21,9,7,6,1
Atlantic City,"4,844","1,027",35,20,13,8,17
Brigantine City,"1,502","2,145",30,12,10,13,3
Buena Boro,379,499,6,2,0,5,0
Buena Vista Twp.,886,792,23,10,8,8,3
Corbin City,69,110,1,0,0,1,0
Egg Harbor City,487,416,8,3,15,4,1
Egg Harbor Twp,"4,657","4,775",84,29,32,32,21
Estell Manor City,187,345,10,5,2,4,1
Folsom Boro,190,311,9,9,2,1,1
Galloway Twp.,"4,008","4,167",73,21,19,21,6
Hamilton Twp.,"3,379","2,884",63,36,23,18,10
Hammonton,"1,274","2,024",46,36,15,10,2
Linwood City,961,"1,318",17,7,7,2,4
Longport Boro,124,213,2,1,0,1,0
Margate City,"1,071","1,188",19,5,8,7,4
Mullica Twp.,729,957,14,6,10,12,5
Northfield Twp.,"1,195","1,291",22,8,12,3,4
Pleasantville City,"2,534",267,17,8,10,5,9
Port Republic,158,253,4,1,6,0,0
Somers Point City,"1,292","1,372",26,13,6,5,3
Ventnor City,"1,074","1,226",27,12,5,9,5
Weymouth Twp.,379,515,15,3,3,3,0
Total,"32,566","29,422",572,256,213,178,100
