MUNICIPALITIES,"Jeff BellRepublican","Cory BookerDemocratic","Joseph BaratelliLibertarian Party","Eugene Martin LaVergneD-R Party","Hank SchroederEconomic Growth","Antonio N. SabasIndependent","Jeff BossIndependent"
Barnegat Twp,"3,214","2,442",72,30,14,10,4
Barnegat Light Boro,199,126,2,0,0,1,0
Bay Head Boro,297,147,4,1,1,1,0
Beach Haven Boro,279,156,3,1,2,0,0
Beachwood Boro,"1,240",968,39,18,7,3,5
Berkeley Twp,"6,952","4,593",137,92,42,21,9
Brick Twp,"10,079","6,895",257,97,78,23,10
Eagleswood Twp,253,124,7,0,0,0,0
Harvey Cedars Boro,114,93,0,1,0,0,0
Island Heights Boro,277,298,10,5,2,2,0
Jackson Twp,"7,267","5,013",148,76,30,16,6
Lacey Twp,"4,294","2,501",125,81,29,15,5
Lakehurst Boro,225,177,6,4,1,0,0
Lakewood Twp,"5,769","7,511",51,24,18,4,6
Lavallette Boro,541,257,2,3,2,1,1
Little Egg Harbor Twp,"3,208","1,814",56,27,13,9,2
Long Beach Twp,883,475,8,6,2,0,0
Manchester Twp,"8,485","5,779",143,92,46,13,14
Mantoloking Boro,113,37,3,1,0,0,0
Ocean Twp,"1,796",933,29,9,7,5,0
Ocean Gate Boro,357,310,9,6,4,1,1
Pine Beach Boro,409,283,10,6,4,0,1
Plumsted Twp,"1,251",548,34,11,10,3,2
Point Pleasant Boro,"3,063","2,073",71,19,36,2,5
Point Pleasant Beach Boro,889,520,13,4,3,1,0
Seaside Heights Boro,175,91,4,1,0,0,0
Seaside Park Boro,387,221,8,2,1,0,2
Ship Bottom Boro,251,146,4,1,0,1,0
South Toms River Boro,292,455,18,12,2,1,0
Stafford Twp,"3,640","2,252",70,48,18,5,1
Surf City Boro,309,159,4,0,0,0,2
Toms River Twp,"12,216","7,906",233,122,54,25,20
Tuckerton  Boro,530,328,4,8,2,2,1
Total,"79,254","55,631","1,584",808,428,165,97
