"","Donald W. NorcrossDemocratic","Garry W. CobbRepublican","Scot John TomaszewskiWe Deserve Better","Robert ShapiroStop Boss Politics","Donald E. LettonD-R Party"
Audubon Boro,"1,143",985,40,32,9
Audubon Park Boro,201,87,7,4,1
Barrington Boro,856,772,22,25,6
Bellmawr Boro,"1,743","1,111",71,45,31
Berlin Boro,817,"1,056",26,26,9
Berlin Twp.,630,437,11,4,7
Brooklawn Boro,307,165,3,2,4
Camden City,"7,102",859,90,102,157
Cherry Hill Twp.,"10,019","7,733",269,223,59
Chesilhurst Boro,290,80,1,1,2
Clementon Boro,641,373,10,7,5
Collingswood Boro,"2,390","1,189",117,78,22
Gibbsboro Boro,313,294,7,6,5
Gloucester City,"1,319",688,32,17,9
Gloucester Twp.,"7,280","5,543",153,104,55
Haddon Heights Boro,"1,271","1,337",38,19,11
Haddon Twp.,"2,338","1,928",118,69,16
Haddonfield Boro,"1,979","2,084",60,53,20
Hi-Nella Boro,81,57,5,6,4
Laurel Springs Boro,253,240,6,9,2
Lawnside Boro,859,89,4,5,9
Lindenwold Boro,"1,947",683,22,24,13
Magnolia Boro,650,346,10,10,6
Merchantville Boro,567,413,28,10,5
Mt. Ephraim Boro,569,418,20,9,2
Oaklyn Boro,547,404,29,13,8
Pennsauken Twp,"5,083","2,003",115,77,60
Pine Hill Boro,"1,272",537,23,15,16
Pine Valley Boro,2,9,0,0,0
Runnemede Boro,937,631,25,12,9
Somerdale Boro,800,378,21,16,5
Stratford Boro,901,865,10,8,6
Tavistok Boro,2,3,0,0,0
Voorhees Twp.,"4,018","3,494",64,70,11
Winslow Twp.,"5,575","2,737",86,61,28
Woodlynne Boro,308,69,9,9,4
Camden Totals,"65,010","40,097","1,552","1,171",616
