MUNICIPALITIES,"Hillary Rodham ClintonDemocratic","Donald J. TrumpRepublican","Gary JohnsonLibertarian Party","Jill SteinGreen Party","Darrell CastleConstitutionParty","Alyson KennedySocialist Workers Party","Rocky Roque De la FuenteAmerican Delta Party","Monica MooreheadWorkers World Party","Gloria La RivaSocialism and Liberation"
Barnegat Twp.,"3,896","7,214",207,94,59,4,1,1,1
Barnegat Light Boro,212,244,8,6,1,0,0,0,0
Bay Head Boro,248,339,22,6,0,0,0,0,0
Beach Haven Boro,273,392,9,6,6,0,0,0,0
Beachwood Boro,"1,537","3,113",143,63,23,3,2,1,0
Berkeley Twp.,"7,177","15,317",319,147,84,11,2,3,4
Brick Twp.,"11,736","24,320",768,345,126,15,6,2,13
Eagleswood Twp.,223,590,19,9,5,0,0,0,0
Harvey Cedars Boro,142,132,12,1,4,0,0,0,0
Island Heights Boro,433,534,22,10,3,1,0,0,0
Jackson  Twp.,"9,275","16,910",538,218,85,7,3,1,4
Lacey Twp.,"3,779","9,854",278,116,27,2,1,1,2
Lakehurst  Boro,332,562,23,15,4,1,0,0,3
Lakewood Twp.,"5,927","18,139",181,78,66,9,4,0,3
Lavallette Boro,368,822,17,11,7,0,0,0,0
Little Egg Harbor Twp.,"3,184","6,700",223,90,37,5,2,1,1
Long Beach  Twp,824,"1,304",50,9,3,0,1,0,0
Manchester Twp.,"8,734","15,387",286,157,98,10,6,1,7
Mantoloking Boro,66,144,8,1,0,0,0,0,0
Ocean Twp,"1,488","3,545",86,48,17,5,0,0,0
Ocean Gate  Boro,342,557,24,16,5,1,0,0,0
Pine Beach Boro,471,733,29,6,9,0,0,0,0
Plumsted Twp.,"1,082","2,708",128,40,14,0,0,1,2
Point Pleasant Beach Boro,870,"1,595",57,23,8,0,0,0,0
Point Pleasant Boro,"3,529","6,361",232,82,16,4,1,1,1
Seaside Heights Boro,188,469,13,11,3,1,0,0,0
Seaside Park Boro,279,616,11,9,3,0,0,0,0
Ship Bottom Boro,295,420,10,4,1,0,0,0,0
South Toms River Boro,622,631,23,15,2,1,0,0,0
Stafford Twp,"4,357","9,189",245,114,53,3,4,1,1
Surf City Boro,316,442,18,8,1,0,0,0,0
Toms River Twp.,"14,471","28,815",823,331,153,9,6,5,13
Tuckerton  Boro,474,981,35,33,14,0,0,0,2
COUNTY TOTAL,"87,150","179,079","4,867","2,122",937,92,39,19,57
