"","Frank A. LoBiondoRepublican","David H. ColeDemocratic","Eric BeechwoodPeople's Independent Progressive","Steven FenichelRepresenting the 99%","Gabriel Brian FrancoFor PoliticalRevolution","James KeenanMake Government Work","John OrdilleLibertarian Party"
Clayton,"1,734","1,668",26,20,17,12,21
East Greenwich,574,312,4,4,1,2,6
Elk,"1,253",729,13,13,7,12,14
Franklin,"4,786","2,414",50,29,22,44,73
Harrison,"4,164","2,104",32,24,23,25,46
Mantua,"4,193","3,089",50,25,32,25,66
Newfield,528,197,6,3,3,3,4
Pitman,"2,544","1,785",34,12,19,13,43
South Harrison,"1,097",477,18,8,12,6,22
Swedesboro,485,452,7,6,4,4,14
Woolwich,"2,958","2,195",32,15,22,18,47
Federal Overseas,2,19,0,1,0,0,1
Federal Overseas,,,,,,,
Gloucester Totals,"24,318","15,441",272,160,162,164,357
