,"Registration","Ballots Cast","Turnout","Christopher B. WolfREP","William LeonardREP","Tim EustaceDEM","Joseph A. LaganaDEM","Dev GoswamiNJ Awakens","Write-In"
Hawthorne Ward 1 District 1,1459,370,25.36,124,123,190,197,9,0
Hawthorne Ward 1 District 2,911,326,35.78,127,131,166,164,6,0
Hawthorne Ward 1 District 3,885,341,38.53,139,139,163,163,6,0
Hawthorne Ward 2 District 1,1131,385,34.04,171,166,151,153,6,2
Hawthorne Ward 2 District 2,747,304,40.70,140,137,117,117,5,0
Hawthorne Ward 2 District 3,1111,396,35.64,157,155,174,176,5,0
Hawthorne Ward 3 District 1,1020,367,35.98,175,175,138,138,3,0
Hawthorne Ward 3 District 2,809,321,39.68,128,125,148,156,6,0
Hawthorne Ward 3 District 3,973,404,41.52,211,206,142,145,1,0
Hawthorne Ward 3 District 4,834,316,37.89,163,163,120,117,3,0
Hawthorne Ward 4 District 1,1033,394,38.14,151,148,196,193,7,1
Hawthorne Ward 4 District 2,1297,463,35.70,203,207,200,201,5,1
Hawthorne Ward 4 District 3,917,335,36.53,147,150,135,141,5,0
Hawthorne Mail-In Ballot,0,289,0.00,128,114,149,137,6,0
Hawthorne Over/Fed,0,1,0.00,0,0,1,1,0,0
Hawthorne Provisional,0,30,0.00,9,8,13,13,3,0
