"Municipalities","Philip Murphy - Shelia OliverDemocratic","Kim Guadagno - Carlos A. RendoRepublican","Gina Genovese - Lt. Governor Not FiledReduce Property Taxes","Peter J. Rohrman - Karese J. LaguerreLibertarian Party","Seth Kaper-Dale - Lisa DurdenGreen Party","Matthew Riccardi - Lt. Governor Not FiledConstitution Party","Vincent Ross - April A. JohnsonWe The People"
Alexandria Twp,568,"1,234",9,11,5,3,3
Bethlehem Twp,504,920,6,11,14,2,1
Bloomsbury Boro,107,144,2,4,0,0,0
Califon Boro,192,223,1,3,1,1,0
Clinton Town,434,492,7,9,2,3,1
Clinton Township,"1,686","2,833",17,35,17,6,8
Delaware Twp,892,"1,153",6,13,7,1,4
East Amwell Twp,692,"1,043",16,10,16,5,1
Flemington Boro,524,477,14,10,13,7,4
Franklin Twp,380,804,3,10,6,4,3
Frenchtown Boro,314,167,2,2,2,0,0
Glen Gardner Boro,181,308,4,9,4,1,1
Hampton Boro,135,254,1,3,2,0,1
High Bridge Boro,579,698,9,14,10,2,1
Holland Twp,573,"1,164",11,12,8,4,3
Kingwood Twp,425,878,9,4,11,2,6
Lambertville City,"1,373",376,16,12,14,2,0
Lebanon Boro,202,314,5,1,3,3,0
Lebanon Twp,701,"1,460",7,24,9,6,5
Milford Boro,189,195,1,9,2,2,1
Raritan Twp,"3,032","4,499",52,44,32,7,7
Readington Twp,"1,997","3,830",33,35,27,8,9
Stockton Boro,137,98,4,2,1,0,1
Tewksbury Twp,819,"1,495",16,7,3,4,3
Union Twp,555,980,11,10,4,4,4
West Amwell Twp,506,669,3,11,5,2,1
Total,"17,697","26,708",265,315,218,79,68
